Listings_id,Name,Price,Property_type,Maximum_allowed_guests,Rating_score,quartiere
35070246,L'Altana – Appartamento a Castro Pretorio,159.0,Entire home,6,4.43,CASTRO PRETORIO
734787271760278753,Confortevole Suite vicino al Pantheon,90.0,Entire home,3,4.8,PIGNETO
24322870,Appartamento con Vista – nel Quartiere Collina Lanciani,83.0,Entire home,8,4.66,COLLINA LANCIANI
1059277913153297142,Raffinato Mansarda vicino al Circo Massimo,113.0,Entire home,4,4.75,S. LORENZO
20221240,Sereno Trilocale nel Quartiere S. Saba,159.0,Entire home,4,4.73,S. SABA
721758678570784812,Pittoresco Rifugio vicino al Piazza Venezia,176.0,Entire home,4,5.0,PONTE
7511293,Raffinato Nido vicino al Piazza Venezia,79.0,Entire home,2,5.0,CENTOCELLE
1019595057713805194,Delizioso Nido nel Campo Marzio – con Wi-Fi Ultraveloce,154.0,Entire home,4,4.91,CAMPO MARZIO
970712571463707194,Nido con Vista – nel Quartiere Torrenova,75.0,Entire home,1,5.0,TORRENOVA
153542,Suggestivo Monolocale nel Quartiere Monte Mario – con Parcheggio,150.0,Entire home,2,4.9,MONTE MARIO
781570967211375740,Moderno Appartamento nel Quartiere Saponara – Luminosissimo,90.0,Entire home,4,4.42,SAPONARA
8398644,Prezioso Studio vicino al Tevere,400.0,Entire home,2,4.82,MONTI DI PIETRALATA
984011058744146651,Sofisticato Studio nel Quartiere Alessandrino – con Aria Condizionata,100.0,Entire home,2,5.0,ALESSANDRINO
31424900,Splendido Perla a Roma,86.0,Entire home,4,4.88,PARCO DI MONTE MARIO
2179247,Delizioso Perla nel Rione Parione – vicino ai Trasporti,129.0,Entire home,3,4.65,PARIONE
1027483042940952075,Stravagante Nido in Trastevere – con Cortile Privato,59.0,Entire home,2,5.0,TRASTEVERE
1026189680995436081,Bilocale a Centocelle – Tranquillo e Centrale,67.0,Entire home,4,4.14,CENTOCELLE
2078191,Mansarda con Vista – nel Quartiere Tor Sapienza,58.0,Entire home,5,4.91,TOR SAPIENZA
926129639625101492,Dimora Incantevole nel Quartiere Vaccareccia,248.0,Entire home,10,4.5,VACCARECCIA
1093581125646918722,Luxury Villa nel Rione Ponte,240.0,Entire home,7,4.83,PONTE
38372351,Luxury Dimora a Castro Pretorio,386.0,Entire home,8,5.0,CASTRO PRETORIO
44408628,Il Antico Bilocale di Roma,50.0,Entire home,4,4.78,TOR TRE TESTE
29789784,Splendido Angolo vicino al Gianicolo,110.0,Private room,2,5.0,EROI TRIONFALE
50817303,Romantico Trilocale sul Colle Celio,213.0,Entire home,4,4.46,CELIO
728179046501384128,Dimora con Vista – nel Quartiere Colle Mattia,78.0,Entire home,7,5.0,COLLE MATTIA
33893755,Raffinato Monolocale nel Quartiere Appio Latino - Alberone – Luminosissimo,100.0,Entire home,2,4.95,APPIO LATINO - ALBERONE
681155561896190972,Sofisticato Loft vicino al Piazza Venezia,470.0,Entire home,4,5.0,BUFALOTTA
3029328,Intimo Suite a Roma,51.0,Entire home,4,4.89,CAMPO ROMANO
986231304488863090,Confortevole Loft nel Quartiere Villini – Completamente Attrezzato,90.0,Entire home,2,4.6,VILLINI
1044119646790872987,Studio nel Quartiere Montagnola – Rustico e Centrale,99.0,Entire home,2,5.0,MONTAGNOLA
735371614563553334,Studio nel Quartiere Ostia Levante – Solare e Centrale,157.0,Entire home,2,3.6,OSTIA LEVANTE
35994127,Vintage Rifugio nel Quartiere Certosa – vicino ai Trasporti,46.0,Private room,2,4.49,CERTOSA
781170360064558866,Raffinato Casa ai Prati,250.0,Entire home,4,5.0,PRATI
921644166244746031,La Piccola Corte – Loft nel Quartiere S. Cornelia,85.0,Entire home,2,4.5,S. CORNELIA
27828729,Stravagante Dimora vicino al Borghese,83.0,Entire home,4,5.0,CASAL BERTONE
3543887,Studio nel Quartiere Arco Di Travertino – Vintage e Centrale,100.0,Entire home,5,4.82,ARCO DI TRAVERTINO
30205582,Appartamento Magico nel Quartiere Osteria Del Curato,100.0,Entire home,6,5.0,OSTERIA DEL CURATO
888983289453159681,Monolocale Vintage nel Quartiere Trevi,245.0,Entire home,2,5.0,TREVI
48617213,Sofisticato Loft vicino al Tevere,59.0,Entire home,2,3.5,TOR BELLA MONACA
878335564462703125,Il Prezioso Casa di Roma,91.0,Entire home,4,4.6,FURIO CAMILLO
905621315105908145,Panoramico Studio vicino al Tivoli,132.0,Entire home,2,4.25,EROI TRIONFALE
749040539622601371,Elegante Bilocale a Roma,86.0,Entire home,4,4.65,S. CLETO
878344791928225175,Il Intimo Nido di Roma,159.0,Private room,2,5.0,ESQUILINO
4844274,Luminoso Rifugio nel Quartiere Pian Due Torri,75.0,Entire home,4,4.6,PIAN DUE TORRI
32868047,Moderno Villa a Roma,60.0,Entire home,6,4.52,CASALE NEI
770135766788867514,Solare Appartamento vicino al Borghese,159.0,Entire home,6,5.0,MAZZINI
50897591,Brillante Dimora nel Quartiere Tor Cervara,70.0,Entire home,3,5.0,TOR CERVARA
35327560,Il Prezioso Camera di Roma,65.0,Private room,2,4.5,TALENTI
4605322,Rifugio Confortevole sul Colle Celio,155.0,Entire home,3,5.0,CELIO
972353848180173575,Appartamento con Vista – nel Quartiere Rebibbia,76.0,Entire home,9,4.77,REBIBBIA
1002061360071125408,Confortevole Angolo a Roma,76.0,Entire home,5,4.91,COLLATINO
14946795,Dimora Bohémien nel Quartiere Ottavo Colle,70.0,Entire home,5,4.71,OTTAVO COLLE
962221756907359585,Nido Panoramico nel Quartiere Ostia Levante,66.0,Entire home,4,4.0,OSTIA LEVANTE
14366555,Suggestivo Dimora a Roma,151.0,Entire home,7,4.6,BORGO
15659818,Storico Mansarda vicino al Pincio,41.0,Entire home,5,4.95,VAL MELAINA
1107788701596520208,Incantevole Nido a Roma,103.0,Entire home,3,5.0,CASAL LUMBROSO
938945280197839545,Il Sofisticato Suite di Roma,81.0,Entire home,4,4.7,VALLE VESCOVO
2225558,Nido Arioso nel Quartiere Monte Mario,57.0,Entire home,5,4.32,MONTE MARIO
640270597679532666,Meraviglioso Loft a Roma,100.0,Entire home,2,5.0,TORRE SPACCATA
20160307,La Terrazza – Bilocale nel Quartiere Giuliano Dalmata,88.0,Entire home,3,4.68,GIULIANO DALMATA
33259065,Casa Tranquillo nel Quartiere Olgiata,400.0,Entire home,6,5.0,OLGIATA
48784918,Sereno Loft a Roma,50.0,Entire home,2,4.0,TRIESTE
22698430,Loft con Vista – nel Quartiere La Pisana,70.0,Entire home,3,5.0,LA PISANA
939175414045148004,Confortevole Monolocale a Roma,83.0,Entire home,4,4.95,PIETRALATA
28907466,Il Luminoso Mansarda di Roma,57.0,Entire home,4,4.87,ITALIA
17439823,Bohémien Casa vicino al Castel Sant'Angelo,260.0,Entire home,5,4.73,TRIGORIA ALTA
1051151821432682803,Vivace Studio vicino al Campo de' Fiori,95.0,Entire home,2,4.78,TOMBA DI NERONE
34314064,Rifugio con Vista – nel Quartiere Ripa,457.0,Entire home,5,4.86,RIPA
17074841,Antico Monolocale nel Quartiere Tintoretto – Tranquillo e Silenzioso,100.0,Entire home,2,4.62,TINTORETTO
7098253,Nido con Vista – ad Appio San Giovanni,120.0,Entire home,4,3.6,APPIO S. GIOVANNI
37438709,Splendido Nido nel Quartiere Porta Portese,110.0,Private room,1,5.0,PORTA PORTESE
898989487140065920,Il Mezzanino – Loft a Testaccio,114.0,Entire home,4,4.67,TESTACCIO
36874961,Grazioso Nido vicino al Circo Massimo,159.0,Entire home,2,5.0,MAZZINI
727581396606263234,Speciale Studio vicino al Castel Sant'Angelo,111.0,Entire home,2,5.0,S. BASILIO
12323537,Luminoso Angolo a Roma,187.0,Entire home,5,4.62,PRATI
1554607,Con Vista sui Tetti – Stanza nel Quartiere Acqua Acetosa Ostiense,65.0,Private room,2,4.63,ACQUA ACETOSA OSTIENSE
1051475233262311553,Il Esclusivo Loft di Roma,89.0,Entire home,2,4.7,VERBANO
38973968,Tra i Sampietrini – Perla nel Rione Parione,133.0,Entire home,4,4.19,PARIONE
43645985,Storico Nido nel Quartiere Nuova Ponte Di Nona,95.0,Entire home,2,5.0,NUOVA PONTE DI NONA
53779537,Rifugio con Vista – nel Quartiere S. Angelo,140.0,Entire home,4,4.79,S. ANGELO
1191803369482479736,Rifugio Vivace nel Quartiere Casal Monastero,50.0,Entire home,3,5.0,CASAL MONASTERO
4625641,Appartamento Prezioso nel Quartiere Tiberina - S. Isidoro,250.0,Entire home,6,4.67,TIBERINA - S. ISIDORO
28854144,Casa con Vista – nel Quartiere Balduina,150.0,Entire home,6,4.77,BALDUINA
8399506,Appartamento con Vista – nel Quartiere Aurelio,100.0,Entire home,6,4.43,AURELIO
1191130585986332177,Studio con Vista – nel Quartiere Centroni - Valle Marciana,100.0,Entire home,2,5.0,CENTRONI - VALLE MARCIANA
1034807547550411504,Trilocale Brillante nel Quartiere Colli Albani,130.0,Entire home,4,4.9,COLLI ALBANI
31897852,Brillante Nido vicino al Vaticano,105.0,Entire home,2,4.99,PONTE
983055411668516585,Loft nel Quartiere Belle Arti – Chic e Centrale,139.0,Entire home,3,5.0,BELLE ARTI
32602344,Prezioso Nido a Roma,90.0,Entire home,2,4.68,BAGNOLETTO
1001362178364475570,Caratteristico Casa a Roma,137.0,Entire home,6,5.0,CERTOSA
1171719123473127148,La Terrazza – Studio nel Quartiere Colle Della Lite,110.0,Entire home,5,5.0,COLLE DELLA LITE
5994050,Nido Bohémien nel Quartiere Campo Di Merlo,93.0,Entire home,2,3.6,CAMPO DI MERLO
1146759788287526865,Solare Casa vicino al Navona,199.0,Entire home,4,5.0,CAMPO MARZIO
673628358255389906,Rustico Angolo nel Quartiere Massimina,105.0,Entire home,4,4.14,MASSIMINA
11091820,Antico Attico ad Appio San Giovanni – Appena Ristrutturato,92.0,Entire home,5,4.2,APPIO S. GIOVANNI
13198529,Luxury Nido nel Quartiere Ostiense,250.0,Entire home,3,4.85,OSTIENSE
24048852,Prezioso Dimora Monti – con Vista sui Tetti,59.0,Entire home,4,4.73,MONTI
889539366526073605,Loft con Vista – nel Quartiere Pinciano,537.0,Entire home,2,5.0,PINCIANO
52714738,Autentico Bilocale a Roma,60.0,Entire home,3,5.0,ACILIA SUD
873659795446575556,Storico Mansarda vicino al Colosseo,100.0,Entire home,3,5.0,MORENA
621676083376084139,Casa nel Quartiere Monti Di Pietralata – Pittoresco e Centrale,83.0,Entire home,5,5.0,MONTI DI PIETRALATA
26909402,Il Elegante Stanza di Roma,73.0,Private room,3,4.45,PRATI
943371394775084565,Luxury Rifugio nel Quartiere Castelverde,201.0,Entire home,4,5.0,CASTELVERDE
938154381050036979,Camera all'Aurelio – Unico e Centrale,237.0,Private room,4,4.0,AURELIO
6320363,Casa nel Quartiere Tre Fontane – Raffinato e Centrale,80.0,Entire home,3,4.82,TRE FONTANE
673825763997882957,Autentico Loft a Roma,41.0,Entire home,4,3.33,FONTANA CANDIDA
8565906,Pittoresco Mansarda nel Campo Marzio – con Vista Mozzafiato,207.0,Entire home,4,4.63,CAMPO MARZIO
22608349,Panoramico Appartamento a Roma,83.0,Entire home,4,4.86,CASAL BERTONE
986760334487579177,Suggestivo Casa a Roma,90.0,Entire home,6,4.75,TALENTI
1141167940677206298,Vintage Angolo nel Quartiere La Lingua,72.0,Entire home,3,5.0,LA LINGUA
242082,Il Grazioso Attico di Roma,120.0,Entire home,4,4.75,SCALO S. LORENZO
1067320037871575638,L'Altana – Monolocale nel Quartiere Castellaccio,154.0,Entire home,2,5.0,CASTELLACCIO
14974295,L'Atelier – Rifugio nel Quartiere Don Bosco,63.0,Entire home,5,4.64,DON BOSCO
896524432129722335,Il Autentico Loft di Roma,140.0,Entire home,2,4.37,EROI TRIONFALE
9441484,Romantico Dimora a Trastevere,200.0,Entire home,4,4.71,TRASTEVERE
898587251386592336,Sotto i Pini – Mansarda nel Quartiere Monteverde Vecchio,105.0,Entire home,4,4.63,MONTEVERDE VECCHIO
9833902,Casa Autentico a Testaccio,159.0,Entire home,6,4.76,TESTACCIO
933169807205136173,Villa nel Quartiere Monte Mario – Intimo e Centrale,106.0,Entire home,6,5.0,MONTE MARIO
47110803,Loft con Vista – nel Quartiere Trevi,1000.0,Entire home,4,5.0,TREVI
29204285,Casa Stravagante nel Quartiere Ludovisi,97.0,Entire home,6,4.35,LUDOVISI
16802352,Attico Antico nel Quartiere Parchi Volusia E Papacci,91.0,Entire home,4,4.06,PARCHI VOLUSIA E PAPACCI
7098881,Appartamento con Vista – nel Quartiere Tor De' Cenci,50.0,Entire home,4,4.79,TOR DE' CENCI
4844274,Suggestivo Nido nel Quartiere Pian Due Torri – nel Cuore del Centro,75.0,Entire home,4,4.6,PIAN DUE TORRI
855588274258684098,Vintage Casa vicino al Navona,397.0,Entire home,8,4.83,EROI TRIONFALE
25367574,La Dolce Vita – Villa nel Quartiere Casal Boccone,90.0,Entire home,8,4.6,CASAL BOCCONE
889481016923102151,Panoramico Rifugio al Colle,100.0,Entire home,3,4.5,MONTI
548984679197091608,Incantevole Nido nel Quartiere Casal Bruciato – con Parcheggio,103.0,Entire home,4,4.58,CASAL BRUCIATO
51593371,Il Unico Nido di Roma,159.0,Private room,2,4.42,ESQUILINO
49491138,Brillante Dimora nel Quartiere Anguillarese - Colle Due Pini – Tranquillo e Silenzioso,75.0,Entire home,6,4.71,ANGUILLARESE - COLLE DUE PINI
50165173,Il Cortile Segreto – Trilocale nel Quartiere Ostia Ponente,96.0,Entire home,4,5.0,OSTIA PONENTE
762639896265701647,Il Elegante Loft di Roma,100.0,Entire home,2,4.33,VAL CANNUTA
926042579411521657,Sereno Appartamento vicino al Vaticano,100.0,Entire home,3,5.0,LUDOVISI
24032921,Loft con Vista – nel Quartiere Miani,159.0,Entire home,2,4.86,MIANI
1124402752088577324,Prezioso Attico vicino al Piazza Venezia,80.0,Entire home,4,5.0,VIGNE ALESSANDRINE
8545062,Monolocale Caratteristico nel Quartiere Casal Bertone,100.0,Entire home,2,3.69,CASAL BERTONE
736147552236228462,Solare Casa nel Quartiere Farnesina – con Wi-Fi Ultraveloce,155.0,Entire home,6,5.0,FARNESINA
623051197948699639,L'Atelier – Loft nel Quartiere Torrino,108.0,Entire home,4,3.0,TORRINO
28977392,Accogliente Casa vicino al Appia,100.0,Entire home,3,4.68,OSTIENSE
44995208,Al Terzo Piano – Perla nel Quartiere Muratella,95.0,Entire home,3,4.9,MURATELLA
831199,Trilocale con Vista – all'Aurelio,120.0,Entire home,3,4.84,AURELIO
17474132,Appartamento Tranquillo nel Quartiere Monteverde Vecchio,270.0,Entire home,6,4.0,MONTEVERDE VECCHIO
1202139110702915652,Rifugio con Vista – nel Quartiere Tufello,84.0,Entire home,3,4.83,TUFELLO
33955296,Loft nel Quartiere Parioli – Speciale e Centrale,117.0,Entire home,2,5.0,PARIOLI
1039823949063360660,Villa con Vista – nel Quartiere Appiano,176.0,Entire home,6,4.83,APPIANO
862199539616992179,La Loggia – Dimora nel Quartiere Porta Portese,194.0,Entire home,4,4.75,PORTA PORTESE
909994334894028424,Loft nel Quartiere Settecamini – Prezioso e Centrale,8000.0,Entire home,2,5.0,SETTECAMINI
1026685119910774994,Il Solare Monolocale di Roma,120.0,Entire home,2,5.0,TOR SAPIENZA
875103166736919393,Il Giardino Segreto – Nido nel Quartiere Medaglie D'Oro,150.0,Entire home,2,3.0,MEDAGLIE D'ORO
52714738,Rifugio nel Quartiere Acilia Sud – Prezioso e Centrale,60.0,Entire home,3,5.0,ACILIA SUD
9872641,Angolo nel Quartiere Acquafredda – Incantevole e Centrale,52.0,Entire home,3,4.57,ACQUAFREDDA
874233515563993383,Unico Studio a Roma,170.0,Entire home,4,4.93,TRIESTE
717573,Luminoso Attico a Roma,141.0,Entire home,4,4.53,S. EUSTACHIO
36508407,Sofisticato Loft vicino al Palatino,80.0,Entire home,2,4.22,TORREVECCHIA ALTA
25766472,Bilocale nel Quartiere Isola Farnese – Unico e Centrale,95.0,Entire home,4,4.75,ISOLA FARNESE
44150661,Trilocale nel Quartiere Eur – Tranquillo e Centrale,145.0,Entire home,3,5.0,EUR
1095064405994616745,Bilocale nel Quartiere Tor Di Mezzavia – Solare e Centrale,98.0,Entire home,4,4.0,TOR DI MEZZAVIA
600576021508780110,Il Mezzanino – Nido nel Quartiere Nuovo Salario,90.0,Entire home,4,4.38,NUOVO SALARIO
3526799,Suite nel Quartiere Giardino Di Roma – Suggestivo e Centrale,98.0,Entire home,4,4.8,GIARDINO DI ROMA
40964109,Sereno Bilocale vicino al Castel Sant'Angelo,96.0,Entire home,5,5.0,MANDRIONE
50897591,Monolocale nel Quartiere Tor Cervara – Chic e Centrale,70.0,Entire home,3,5.0,TOR CERVARA
927230958825127860,Moderno Dimora vicino al Tivoli,81.0,Entire home,4,4.47,PARIONE
20554360,Bohémien Monolocale vicino al Circo Massimo,159.0,Entire home,2,4.96,MONTI
1105169321117336450,Suite Brillante nel Quartiere Aurelio,134.0,Entire home,4,4.33,AURELIO
18021259,Loft con Vista – nel Quartiere Verano,134.0,Entire home,2,4.94,VERANO
31444038,Caratteristico Suite vicino al Campo de' Fiori,85.0,Entire home,4,5.0,LANCIANI
697204019905062642,Studio nel Quartiere Colli Portuensi – Raffinato e Centrale,100.0,Entire home,2,4.5,COLLI PORTUENSI
923240648602572500,Bohémien Studio a Roma,60.0,Entire home,2,5.0,LIDO DI CASTEL FUSANO
6330785,Affascinante Monolocale nel Quartiere Borgo,393.0,Entire home,2,5.0,BORGO
938945280197839545,Appartamento Elegante nel Quartiere Valle Vescovo,49.0,Entire home,4,5.0,VALLE VESCOVO
50969157,Monolocale Affascinante nel Quartiere Parco Dell'Appia Antica,95.0,Entire home,2,5.0,PARCO DELL'APPIA ANTICA
721643048280016089,Il Grazioso Studio di Roma,159.0,Entire home,2,4.86,RIPA
8579249,Villa nel Quartiere Monti Tiburtini – Rustico e Centrale,83.0,Entire home,14,4.85,MONTI TIBURTINI
1033958681388118234,La Terrazza – Mansarda nel Quartiere Magliana,100.0,Entire home,4,4.0,MAGLIANA
14137430,Brillante Mansarda vicino al Foro Romano,184.0,Entire home,4,4.75,TUSCOLANO
3391289,L'Atelier – Bilocale nel Quartiere Ardeatino,200.0,Entire home,4,4.0,ARDEATINO
772216480551696908,Il Autentico Casa di Roma,85.0,Entire home,5,5.0,QUADRARO VECCHIO
21619053,Monolocale con Vista – nel Quartiere Malagrotta,110.0,Entire home,2,4.5,MALAGROTTA
40026315,Confortevole Camera a Castro Pretorio – vicino ai Trasporti,70.0,Private room,2,4.46,CASTRO PRETORIO
877867356376341417,Prezioso Appartamento vicino al Pantheon,200.0,Entire home,6,4.0,S. NICOLA
46030852,Il Portico – Monolocale a Castro Pretorio,225.0,Entire home,4,3.5,CASTRO PRETORIO
1047096634790392692,L'Altana – Villa nel Quartiere Vescovio,242.0,Entire home,6,5.0,VESCOVIO
890465007873586961,L'Arco – Nido nel Quartiere Campo Grazia,47.0,Entire home,2,5.0,CAMPO GRAZIA
773298842676411068,Caratteristico Angolo nel Quartiere Don Bosco,54.0,Private room,2,1.0,DON BOSCO
917885768193055905,Attico con Vista – nel Quartiere Giardinetti,158.0,Entire home,4,4.75,GIARDINETTI
852837769466449481,Panoramico Appartamento nel Quartiere Certosa – Appena Ristrutturato,110.0,Entire home,6,4.58,CERTOSA
845750889109005437,Loft nel Rione Regola – Tranquillo e Centrale,171.0,Entire home,2,4.85,REGOLA
1128919283897436084,Suite con Vista – a Mazzini,134.0,Entire home,3,5.0,MAZZINI
8247691,Solare Mansarda nel Quartiere Casal Dei Pazzi,92.0,Entire home,3,4.62,CASAL DEI PAZZI
28638902,Casa con Vista – nel Quartiere Vermicino,400.0,Entire home,6,5.0,VERMICINO
1034866927483545702,Intimo Loft vicino al Trevi,70.0,Entire home,2,5.0,PALMAROLA
15339686,Trilocale nel Quartiere Montagnola – Unico e Centrale,70.0,Entire home,4,4.75,MONTAGNOLA
